energy;distance;angle
-397.943356468;0.8500;158.0
-397.941798005;0.8500;159.0
-397.940288089;0.8500;160.0
-397.984944145;0.8500;70.0
-397.987451275;0.8500;71.0
-397.989870536;0.8500;72.0
-397.992201957;0.8500;73.0
-397.994445546;0.8500;74.0
-397.996601311;0.8500;75.0
-397.998669262;0.8500;76.0
-398.000649428;0.8500;77.0
-398.002541858;0.8500;78.0
-398.004346634;0.8500;79.0
-398.006063869;0.8500;80.0
-398.007693714;0.8500;81.0
-398.009236362;0.8500;82.0
-398.010692046;0.8500;83.0
-398.012061045;0.8500;84.0
-398.013343679;0.8500;85.0
-398.014540316;0.8500;86.0
-398.015651365;0.8500;87.0
-398.01667728;0.8500;88.0
-398.017618558;0.8500;89.0
-398.018475738;0.8500;90.0
-398.019249398;0.8500;91.0
-398.019940156;0.8500;92.0
-398.02054867;0.8500;93.0
-398.021075632;0.8500;94.0
-398.021521771;0.8500;95.0
-398.021887851;0.8500;96.0
-398.022174668;0.8500;97.0
-398.022383052;0.8500;98.0
-398.022513865;0.8500;99.0
-398.207163125;0.9000;100.0
-398.207080871;0.9000;101.0
-398.206924733;0.9000;102.0
-398.206695654;0.9000;103.0
-398.206394603;0.9000;104.0
-398.206022585;0.9000;105.0
-398.205580633;0.9000;106.0
-398.205069814;0.9000;107.0
-398.204491228;0.9000;108.0
-398.203846003;0.9000;109.0
-398.203135303;0.9000;110.0
-398.202360326;0.9000;111.0
-398.201522299;0.9000;112.0
-398.200622486;0.9000;113.0
-398.199662185;0.9000;114.0
-398.198642728;0.9000;115.0
-398.197565482;0.9000;116.0
-398.196431853;0.9000;117.0
-398.195243279;0.9000;118.0
-398.19400124;0.9000;119.0
-398.192707251;0.9000;120.0
-398.191362869;0.9000;121.0
-398.18996969;0.9000;122.0
-398.18852935;0.9000;123.0
-398.18704353;0.9000;124.0
-398.185513954;0.9000;125.0
-398.183942388;0.9000;126.0
-398.182330647;0.9000;127.0
-398.180680594;0.9000;128.0
-398.178994139;0.9000;129.0
-398.177273242;0.9000;130.0
-398.175519916;0.9000;131.0
-398.173736227;0.9000;132.0
-398.171924295;0.9000;133.0
-398.170086296;0.9000;134.0
-398.168224465;0.9000;135.0
-398.166341093;0.9000;136.0
-398.164438533;0.9000;137.0
-398.162519196;0.9000;138.0
-398.160585559;0.9000;139.0
-398.158640157;0.9000;140.0
-398.156685591;0.9000;141.0
-398.154724523;0.9000;142.0
-398.152759679;0.9000;143.0
-398.150793847;0.9000;144.0
-398.148829875;0.9000;145.0
-398.146870675;0.9000;146.0
-398.144919212;0.9000;147.0
-398.142978511;0.9000;148.0
-398.141051647;0.9000;149.0
-398.139141746;0.9000;150.0
-398.137251976;0.9000;151.0
-398.135385548;0.9000;152.0
-398.133545705;0.9000;153.0
-398.131735715;0.9000;154.0
-398.129958869;0.9000;155.0
-398.128218468;0.9000;156.0
-398.126517813;0.9000;157.0
-398.124860199;0.9000;158.0
-398.123248903;0.9000;159.0
-398.121687171;0.9000;160.0
-398.172014083;0.9000;70.0
-398.174411753;0.9000;71.0
-398.176723916;0.9000;72.0
-398.178950509;0.9000;73.0
-398.181091467;0.9000;74.0
-398.183146728;0.9000;75.0
-398.185116247;0.9000;76.0
-398.186999999;0.9000;77.0
-398.18879799;0.9000;78.0
-398.190510256;0.9000;79.0
-398.192136871;0.9000;80.0
-398.193677948;0.9000;81.0
-398.195133641;0.9000;82.0
-398.196504147;0.9000;83.0
-398.197789705;0.9000;84.0
-398.198990599;0.9000;85.0
-398.200107156;0.9000;86.0
-398.201139745;0.9000;87.0
-398.202088777;0.9000;88.0
-398.202954706;0.9000;89.0
-398.203738025;0.9000;90.0
-398.204439268;0.9000;91.0
-398.205059005;0.9000;92.0
-398.205597846;0.9000;93.0
-398.206056434;0.9000;94.0
-398.206435451;0.9000;95.0
-398.20673561;0.9000;96.0
-398.206957659;0.9000;97.0
-398.207102381;0.9000;98.0
-398.207170587;0.9000;99.0
-398.347520496;0.9500;100.0
-398.347383605;0.9500;101.0
-398.347173875;0.9500;102.0
-398.346892207;0.9500;103.0
-398.346539531;0.9500;104.0
-398.346116809;0.9500;105.0
-398.345625035;0.9500;106.0
-398.345065233;0.9500;107.0
-398.344438461;0.9500;108.0
-398.343745804;0.9500;109.0
-398.342988383;0.9500;110.0
-398.342167348;0.9500;111.0
-398.341283884;0.9500;112.0
-398.340339206;0.9500;113.0
-398.339334562;0.9500;114.0
-398.338271237;0.9500;115.0
-398.337150547;0.9500;116.0
-398.335973843;0.9500;117.0
-398.334742512;0.9500;118.0
-398.33345798;0.9500;119.0
-398.332121706;0.9500;120.0
-398.33073519;0.9500;121.0
-398.329299972;0.9500;122.0
-398.327817632;0.9500;123.0
-398.326289791;0.9500;124.0
-398.324718114;0.9500;125.0
-398.323104313;0.9500;126.0
-398.321450144;0.9500;127.0
-398.319757412;0.9500;128.0
-398.318027973;0.9500;129.0
-398.316263732;0.9500;130.0
-398.31446665;0.9500;131.0
-398.312638743;0.9500;132.0
-398.310782081;0.9500;133.0
-398.308898797;0.9500;134.0
-398.306991083;0.9500;135.0
-398.305061193;0.9500;136.0
-398.303111445;0.9500;137.0
-398.301144224;0.9500;138.0
-398.29916198;0.9500;139.0
-398.297167235;0.9500;140.0
-398.295162575;0.9500;141.0
-398.293150659;0.9500;142.0
-398.291134218;0.9500;143.0
-398.289116049;0.9500;144.0
-398.287099023;0.9500;145.0
-398.285086078;0.9500;146.0
-398.283080219;0.9500;147.0
-398.281084519;0.9500;148.0
-398.279102113;0.9500;149.0
-398.277136195;0.9500;150.0
-398.275190016;0.9500;151.0
-398.273266875;0.9500;152.0
-398.271370119;0.9500;153.0
-398.269503132;0.9500;154.0
-398.267669327;0.9500;155.0
-398.26587214;0.9500;156.0
-398.264115019;0.9500;157.0
-398.262401415;0.9500;158.0
-398.260734768;0.9500;159.0
-398.259118495;0.9500;160.0
-398.314705553;0.9500;70.0
-398.316997219;0.9500;71.0
-398.319205848;0.9500;72.0
-398.32133129;0.9500;73.0
-398.3233734;0.9500;74.0
-398.325332048;0.9500;75.0
-398.327207128;0.9500;76.0
-398.328998558;0.9500;77.0
-398.330706293;0.9500;78.0
-398.332330321;0.9500;79.0
-398.33387067;0.9500;80.0
-398.33532741;0.9500;81.0
-398.336700651;0.9500;82.0
-398.337990549;0.9500;83.0
-398.339197302;0.9500;84.0
-398.340321152;0.9500;85.0
-398.341362383;0.9500;86.0
-398.342321323;0.9500;87.0
-398.343198341;0.9500;88.0
-398.343993849;0.9500;89.0
-398.344708297;0.9500;90.0
-398.345342175;0.9500;91.0
-398.345896011;0.9500;92.0
-398.346370371;0.9500;93.0
-398.346765858;0.9500;94.0
-398.347083107;0.9500;95.0
-398.347322791;0.9500;96.0
